6	あったまりそうなもの……か。
8	くしゃみが出るほど冷えてるんだから、体の中から温まるものがいいかな。
10	「ん……お茶？　俺が食べるような物は温め直しても飲めないだろうから……」
12	お茶よりもコクのあるものの方が、体を温めてくれそうだ。だとすると……。
14	「酪乳を温めようか」
16	俺は菓子作りのために用意しておいた酪乳を温めて甘みをつけると器に入れた。
24	「お待たせ」
30	【イバラ】「小屋の中で何してたんだ！？」
32	俺が戻るとすぐにイバラは顔を上げた。
34	「何か体を温めるもの、と思って」
36	酪乳を渡すとイバラは不思議そうに俺を見返してきた。
42	【イバラ】「これ、どうするんだ？」
44	「甘くしてあるからそのままで飲めると思うけど」
50	【イバラ】「飲む！？　この白い変なのを！？」
52	「変なの……って、ただの温めた酪乳だよ」
58	【イバラ】「酪乳！？　なんだ、それ？　飲めるのか？　変なものじゃないの？」
60	「酪乳ていうのは、絞った乳から菓子を焼いたり麺麭に塗る脂をとった残りなんだけど……」
66	【イバラ】「乳って、母親が赤ん坊に飲ませるっていうあれか？　赤ん坊って何もできないんだろう？　そんな生き物から食べ物を取り上げるなんてひどいぞ！」
68	「大丈夫だよ。人間は余った分をもらってるだけだから。人間が絞ったところで赤ちゃんに足りなくなったりはしないんだ」
74	【イバラ】「そうか……それならいいんだけど」
76	「いい匂いがするだろ？　飲んでごらん」
82	【イバラ】「ボクに変なものを飲ませてからかうつもりじゃないだろうな……」
84	イバラは疑り深げに俺を見ながら、器を口にした。
90	【イバラ】「ん！？　はふっ……ふー……ずずっ……んーっ！　んーっ！　んーっ！」
92	「美味しい？　気に入ったんなら良かった。火傷しないように気をつけて」
98	【イバラ】「ふーっ……ごくっ……こくっ……これ、甘くて……ま、まずくはないな！　ごくっ……ごくごく……」
100	「おかわりいる？」
102	夢中になって酪乳を飲み干したイバラへと手を伸ばすと、イバラは器を返しかけて手を止めた。
108	【イバラ】「……いや、いい」
110	「どうしたの？　お腹痛くなりそうだった？」
116	【イバラ】「別に……このぐらいでお腹痛くなったりはしないけど……」
122	【イバラ】「昨日聞いただろう？　満月に近づくにつれてエルフじゃないものはエルフの結界に入りにくくなるだろうって」
124	「あぁ、うん」
130	【イバラ】「ニンゲンはボクが戻れないようにしたいのか？　人間の食べ物を食べていたらどんどんエルフじゃないものがボクに混ざっていく」
132	「え、いや……そんなつもりはなかったんだけど」
138	【イバラ】「あ、あんなところ、戻るつもりじゃないけど……で、でも、ボクは誇り高いエルフなんだぞ！？」
140	「美味しくなかった？」
142	心配になって聞くと、イバラは口を閉ざし首を横に振った。
144	口では戻らないなんて言ってるけど、まだ迷っているんだろう。
146	無理もない。
148	イバラにとってこっち側には、俺しか頼るものがいないんだから。
154	【イバラ】「け、けど戻らないから別にいいんだった！　……あったかくはなった」
156	「……うん」
158	空になった器を受け取って、俺はイバラと同じく空を見上げた。
164	【イバラ】「なんか……静かだな」
166	「そうだね。いつもならこんな時は……」
168	きっとヒナタたちが騒いでもっとうるさくなって……。
174	【イバラ】「っ……く……寂しくなんか、ないんだからな」
176	「うん……俺は少し寂しいよ」
182	【イバラ】「ぼ、ボクがいるのにか！？」
184	「イバラがいてくれるのに、寂しがってちゃいけないね」
190	【イバラ】「そうだろう！？　全くニンゲンは無礼なやつだな！」
192	「……ごめん」
194	何も言わずに見上げた空は無数の星が瞬いて、うるさいくらいに賑やかだった。
